dia_simulacion;producto_codigo;producto_id;region;demanda_base;disrupcion_key;multiplicador_disrupcion;fuente
-30;SV-750;1;Amazonía;26;;1.0;base_principal
-30;SV-750;1;Andina;54;;1.0;base_principal
-30;SV-750;1;Caribe;42;;1.0;base_principal
-30;SV-750;1;Orinoquía;34;;1.0;base_principal
-30;SV-750;1;Pacífica;36;;1.0;base_principal
-30;SV-1L;2;Amazonía;37;;1.0;base_principal
-30;SV-1L;2;Andina;50;;1.0;base_principal
-30;SV-1L;2;Caribe;47;;1.0;base_principal
-30;SV-1L;2;Orinoquía;39;;1.0;base_principal
-30;SV-1L;2;Pacífica;46;;1.0;base_principal
-30;ED-750;3;Amazonía;37;;1.0;base_principal
-30;ED-750;3;Andina;60;;1.0;base_principal
-30;ED-750;3;Caribe;49;;1.0;base_principal
-30;ED-750;3;Orinoquía;40;;1.0;base_principal
-30;ED-750;3;Pacífica;46;;1.0;base_principal
-30;ED-1L;4;Amazonía;27;;1.0;base_principal
-30;ED-1L;4;Andina;60;;1.0;base_principal
-30;ED-1L;4;Caribe;49;;1.0;base_principal
-30;ED-1L;4;Orinoquía;31;;1.0;base_principal
-30;ED-1L;4;Pacífica;39;;1.0;base_principal
-30;SR-750;5;Amazonía;13;;1.0;base_principal
-30;SR-750;5;Andina;21;;1.0;base_principal
-30;SR-750;5;Caribe;20;;1.0;base_principal
-30;SR-750;5;Orinoquía;17;;1.0;base_principal
-30;SR-750;5;Pacífica;18;;1.0;base_principal
-30;SR-1L;6;Amazonía;23;;1.0;base_principal
-30;SR-1L;6;Andina;34;;1.0;base_principal
-30;SR-1L;6;Caribe;33;;1.0;base_principal
-30;SR-1L;6;Orinoquía;25;;1.0;base_principal
-30;SR-1L;6;Pacífica;29;;1.0;base_principal
-30;OP-750;7;Amazonía;25;;1.0;base_principal
-30;OP-750;7;Andina;55;;1.0;base_principal
-30;OP-750;7;Caribe;45;;1.0;base_principal
-30;OP-750;7;Orinoquía;35;;1.0;base_principal
-30;OP-750;7;Pacífica;42;;1.0;base_principal
-30;OP-1L;8;Amazonía;27;;1.0;base_principal
-30;OP-1L;8;Andina;50;;1.0;base_principal
-30;OP-1L;8;Caribe;39;;1.0;base_principal
-30;OP-1L;8;Orinoquía;28;;1.0;base_principal
-30;OP-1L;8;Pacífica;32;;1.0;base_principal
-29;SV-750;1;Amazonía;24;;1.0;base_principal
-29;SV-750;1;Andina;55;;1.0;base_principal
-29;SV-750;1;Caribe;40;;1.0;base_principal
-29;SV-750;1;Orinoquía;29;;1.0;base_principal
-29;SV-750;1;Pacífica;37;;1.0;base_principal
-29;SV-1L;2;Amazonía;38;;1.0;base_principal
-29;SV-1L;2;Andina;53;;1.0;base_principal
-29;SV-1L;2;Caribe;50;;1.0;base_principal
-29;SV-1L;2;Orinoquía;47;;1.0;base_principal
-29;SV-1L;2;Pacífica;48;;1.0;base_principal
-29;ED-750;3;Amazonía;27;;1.0;base_principal
-29;ED-750;3;Andina;45;;1.0;base_principal
-29;ED-750;3;Caribe;39;;1.0;base_principal
-29;ED-750;3;Orinoquía;28;;1.0;base_principal
-29;ED-750;3;Pacífica;30;;1.0;base_principal
-29;ED-1L;4;Amazonía;28;;1.0;base_principal
-29;ED-1L;4;Andina;49;;1.0;base_principal
-29;ED-1L;4;Caribe;43;;1.0;base_principal
-29;ED-1L;4;Orinoquía;30;;1.0;base_principal
-29;ED-1L;4;Pacífica;41;;1.0;base_principal
-29;SR-750;5;Amazonía;14;;1.0;base_principal
-29;SR-750;5;Andina;27;;1.0;base_principal
-29;SR-750;5;Caribe;20;;1.0;base_principal
-29;SR-750;5;Orinoquía;16;;1.0;base_principal
-29;SR-750;5;Pacífica;17;;1.0;base_principal
-29;SR-1L;6;Amazonía;24;;1.0;base_principal
-29;SR-1L;6;Andina;54;;1.0;base_principal
-29;SR-1L;6;Caribe;36;;1.0;base_principal
-29;SR-1L;6;Orinoquía;28;;1.0;base_principal
-29;SR-1L;6;Pacífica;32;;1.0;base_principal
-29;OP-750;7;Amazonía;29;;1.0;base_principal
-29;OP-750;7;Andina;48;;1.0;base_principal
-29;OP-750;7;Caribe;47;;1.0;base_principal
-29;OP-750;7;Orinoquía;33;;1.0;base_principal
-29;OP-750;7;Pacífica;36;;1.0;base_principal
-29;OP-1L;8;Amazonía;34;;1.0;base_principal
-29;OP-1L;8;Andina;52;;1.0;base_principal
-29;OP-1L;8;Caribe;50;;1.0;base_principal
-29;OP-1L;8;Orinoquía;43;;1.0;base_principal
-29;OP-1L;8;Pacífica;45;;1.0;base_principal
-28;SV-750;1;Amazonía;26;;1.0;base_principal
-28;SV-750;1;Andina;48;;1.0;base_principal
-28;SV-750;1;Caribe;38;;1.0;base_principal
-28;SV-750;1;Orinoquía;30;;1.0;base_principal
-28;SV-750;1;Pacífica;34;;1.0;base_principal
-28;SV-1L;2;Amazonía;34;;1.0;base_principal
-28;SV-1L;2;Andina;52;;1.0;base_principal
-28;SV-1L;2;Caribe;40;;1.0;base_principal
-28;SV-1L;2;Orinoquía;38;;1.0;base_principal
-28;SV-1L;2;Pacífica;39;;1.0;base_principal
-28;ED-750;3;Amazonía;11;;1.0;base_principal
-28;ED-750;3;Andina;22;;1.0;base_principal
-28;ED-750;3;Caribe;19;;1.0;base_principal
-28;ED-750;3;Orinoquía;12;;1.0;base_principal
-28;ED-750;3;Pacífica;16;;1.0;base_principal
-28;ED-1L;4;Amazonía;23;;1.0;base_principal
